category,true_label,pred_label,confidence,text_len_words,text
TP,1,1,0.5217,15,"good , i love hiking ! . i take my dogs to the lake often"
FP,0,1,0.5755,10,"it is , but my roommates help out sometimes ."
FP,0,1,0.9179,7,interesting . how old are you ?
TP,1,1,0.8221,15,i am studying for my masters . fortunately mom lets me live with her .
TP,1,1,0.9363,9,i want to teach kids in elementary school .
TN,0,0,0.4804,17,"maybe along with that pie you can take a pic of my cat , love him ."
FP,0,1,0.8866,8,i catch the football and hockey games .
TP,1,1,0.7642,5,hi i have four siblings
TN,0,0,0.4318,14,that's probably entirely true . unless i were a rich dog . . .
FN,1,0,0.4997,8,"i am well , how are you ?"
TP,1,1,0.5641,8,i love chocolate ice cream . you .
FN,1,0,0.492,14,i'm so sorry to hear that . do you ever drink and drive ?
FP,0,1,0.9522,5,why do you hate it
TP,1,1,0.8407,11,i just got my rejection letter from the gifted program .
TN,0,0,0.2154,16,healthy ! i stay at home with my two kids while my husband makes the living
FP,0,1,0.9598,7,where do you live at then ?
FP,0,1,0.8403,9,going to the city that would be fun !
TP,1,1,0.7473,8,i enjoy the occasional drink with friends .
TP,1,1,0.5773,13,i also give blood monthly in honor of my sister who died .
FP,0,1,0.5545,12,"kinda , i been in the game since i was four ."
FP,0,1,0.5372,11,"what do you like ? iced coffee , i hope !"
TP,1,1,0.8696,4,i love cooking .
FP,0,1,0.5942,14,"the plot thickens lol how cool , did you get his number or anything"
FP,0,1,0.9005,6,do you like meat lovers pizza
TP,1,1,0.6008,19,oh no ! but how can you be sure ? ! i'm under a bridge on 59th street .
TP,1,1,0.8339,6,i dyed my hair pink .
FN,1,0,0.341,18,i'm sure your ego is from mommy issues ? maybe a pet can help calm you down .
FP,0,1,0.6766,9,first yr ! do you have any hobbies ?
TP,1,1,0.5029,11,definitely . i love dragons . wish i had one .
TP,1,1,0.591,17,i have a car . i drive to the school my boyfriend goes to learn acting .
FN,1,0,0.4064,19,"ll well that's interesting . you like dogs ? pugs are so loyal , i have one name biscuit"
TP,1,1,0.6258,8,i joined a new team last month .
FP,0,1,0.6718,17,i had to call 911 once it was so bad . do you have any pets ?
FP,0,1,0.5878,14,yes they are . i will name mine charlie daniels he is my favorite
