category,true_label,pred_label,confidence,text_len_words,text
TP,1,1,0.5903,15,"good , i love hiking ! . i take my dogs to the lake often"
FP,0,1,0.5698,10,"it is , but my roommates help out sometimes ."
FP,0,1,0.905,7,interesting . how old are you ?
TP,1,1,0.7995,15,i am studying for my masters . fortunately mom lets me live with her .
TP,1,1,0.9104,9,i want to teach kids in elementary school .
FP,0,1,0.5618,17,"maybe along with that pie you can take a pic of my cat , love him ."
FP,0,1,0.8426,8,i catch the football and hockey games .
TP,1,1,0.736,5,hi i have four siblings
FP,0,1,0.5174,14,that's probably entirely true . unless i were a rich dog . . .
TP,1,1,0.6459,8,"i am well , how are you ?"
TP,1,1,0.5986,8,i love chocolate ice cream . you .
TP,1,1,0.6156,14,i'm so sorry to hear that . do you ever drink and drive ?
FP,0,1,0.9222,5,why do you hate it
TP,1,1,0.8587,11,i just got my rejection letter from the gifted program .
TN,0,0,0.2829,16,healthy ! i stay at home with my two kids while my husband makes the living
FP,0,1,0.9357,7,where do you live at then ?
FP,0,1,0.8141,9,going to the city that would be fun !
TP,1,1,0.7524,8,i enjoy the occasional drink with friends .
TP,1,1,0.6922,13,i also give blood monthly in honor of my sister who died .
FP,0,1,0.5739,12,"kinda , i been in the game since i was four ."
FP,0,1,0.581,11,"what do you like ? iced coffee , i hope !"
TP,1,1,0.8332,4,i love cooking .
FP,0,1,0.6578,14,"the plot thickens lol how cool , did you get his number or anything"
FP,0,1,0.8702,6,do you like meat lovers pizza
TP,1,1,0.5824,19,oh no ! but how can you be sure ? ! i'm under a bridge on 59th street .
TP,1,1,0.8052,6,i dyed my hair pink .
FN,1,0,0.3826,18,i'm sure your ego is from mommy issues ? maybe a pet can help calm you down .
FP,0,1,0.7049,9,first yr ! do you have any hobbies ?
TP,1,1,0.6283,11,definitely . i love dragons . wish i had one .
TP,1,1,0.5782,17,i have a car . i drive to the school my boyfriend goes to learn acting .
FN,1,0,0.4025,19,"ll well that's interesting . you like dogs ? pugs are so loyal , i have one name biscuit"
TP,1,1,0.6303,8,i joined a new team last month .
FP,0,1,0.7391,17,i had to call 911 once it was so bad . do you have any pets ?
FP,0,1,0.5596,14,yes they are . i will name mine charlie daniels he is my favorite
TN,0,0,0.3231,10,are you hungry ? i can bake you something .
TP,1,1,0.7271,14,any books in about horses ? i love horses mines name is beauty .
FP,0,1,0.5328,15,i trust only you . my vera is nice . why is yours dead ?
TP,1,1,0.8779,12,i am going to watch football . what are you canning ?
TP,1,1,0.8935,5,my major is business .
FP,0,1,0.6555,12,cool . . . i followed my father and became an author
FN,1,0,0.3405,16,"i know , right ? that is why culinary school was where i ended up ."
FP,0,1,0.8566,11,"oh , you can never be too tall to dance !"
TN,0,0,0.1523,18,maybe i could introduce you to my sister in law . she's all wrong for my brother .
TP,1,1,0.9043,5,i never eat veggies .
FP,0,1,0.7239,6,how does that feel for you
TP,1,1,0.7471,4,i love animals .
FP,0,1,0.9263,9,how so ? organic food is not nice .
TP,1,1,0.9128,11,"i hate my parents , but i love my job ."
TP,1,1,0.7156,12,hi . i love to garden . what do you do ?
TN,0,0,0.456,17,sounds like we have a lot in common . how do you feel about urban farms ?
TP,1,1,0.9377,5,i work in a factory
TN,0,0,0.4278,14,"if i were a fish , i would be all over fried chicken ."
TP,1,1,0.832,6,i am a guitar player .
TN,0,0,0.4255,9,make sure you spell the food right ! d
FN,1,0,0.3414,14,"its nice to have simple pleasures , i love the simple things in life"
TP,1,1,0.8817,8,i climb trees because i'm a spider monkey
TP,1,1,0.6983,6,i graduated college in 2016 .
FP,0,1,0.6523,9,"that is good , salads all day everyday ."
TP,1,1,0.8647,10,"i love pizza , but my favorite cuisine is thai"
TP,1,1,0.7583,8,i am getting married in six months .
TP,1,1,0.809,4,i am thin .
TP,1,1,0.9149,10,i am not really sure . whenso your birthday ?
FP,0,1,0.7858,9,i've a girlfriend very in love hope to marry
TN,0,0,0.2293,19,"you got it , that is why i can not stand skiing . can not wear the boots ."
FP,0,1,0.7233,15,fill out the necessary paperwork and send it to the rector of your parrish .
TP,1,1,0.8822,9,i try i like video games and race cars
FP,0,1,0.6221,9,amazing have any pets ? i've three cats .
FP,0,1,0.7173,14,"i really enjoy free diving , how about you , have any hobbies ?"
TP,1,1,0.8984,6,nachos are my favorite food .
TP,1,1,0.8932,5,i'm from the planet saturn
TN,0,0,0.261,8,good luck . that's a rough thing .
FP,0,1,0.6413,10,no i don't have any it was boring growing up
TP,1,1,0.6776,10,i did a few small roles in tv series .
TP,1,1,0.847,6,i like to write poetry .
TP,1,1,0.6832,8,i used to be in the marines .
TP,1,1,0.8263,14,"my mom works as a cashier at walmart , i live in her basement"
FP,0,1,0.9189,13,"not necessarily , but if i stole something that was originally mine ?"
FP,0,1,0.8992,6,i bet that it really hurts
FP,0,1,0.5655,23,6 foot . my girl friend is 6 2 . love those long legs . she is beautiful . how about you ?
TP,1,1,0.7907,9,i do also . where do you live ?
TP,1,1,0.5127,8,i love to do yoga . you ?
FP,0,1,0.7849,12,totally . i always look for ways to make money easily .
TN,0,0,0.3975,16,"i went to the salon , i fit in with the other girls at school ."
FP,0,1,0.8811,6,my granny loves to cliff dive
FP,0,1,0.8366,6,"did i say beer , lol"
TP,1,1,0.7192,7,my grandmother lives in my guesthouse .
TP,1,1,0.7718,6,i am good thanks for asking
TP,1,1,0.6557,15,i agree . i like having a picnic and looking at the cloud shapes .
FP,0,1,0.6775,8,i would love to travel as well .
TP,1,1,0.7225,7,madonna is my all time favorite .
TP,1,1,0.8275,7,my mother was born in ireland .
FN,1,0,0.2376,13,"i am well , what do you do in your spare time ?"
FP,0,1,0.8571,17,"saving for college . my parents kicked me out at 14 , so its been rough ."
FN,1,0,0.3207,17,oh okay . that is interesting . i live by myself and work on cars a lot
FP,0,1,0.9335,5,do you get free pizza
TP,1,1,0.8918,12,i'm doing good should be sleeping i have school but cant sleep
FP,0,1,0.7542,17,"no just cats . i travel a lot , traveled around world on boat last year ."
FP,0,1,0.7215,6,that does sound fun take me
FN,1,0,0.4251,8,yeah it is because people can talk .
TN,0,0,0.1331,19,"yea . not to mention , i get made fun of a lot . not happy with my image"
TP,1,1,0.767,9,i like to go fishing on the lake .
TN,0,0,0.44,13,"very good , lots of downtime for reading . how about you ?"
TP,1,1,0.8873,7,i love to cut down trees .
TP,1,1,0.7248,11,starbucks ! i love the atmosphere and they treat employees great
TN,0,0,0.1911,13,"awww , that's precious . i feel the same way about my mom"
FP,0,1,0.6738,14,wish i can site it at the beach love reading books at the beach
FN,1,0,0.3022,16,"i love animals , so much so i'm vegan . you know what that is ?"
FP,0,1,0.8997,6,do you know mike trout ?
TP,1,1,0.6838,5,i love to sing .
FP,0,1,0.6106,13,how nice . once i get my bachelors degree a great honeymoon spot
FP,0,1,0.7999,14,"music ? my fav singer of forever is ke ha , like wow ."
TP,1,1,0.7515,19,when i am not chasing my siberian huskies 2 of them ! i like to play the guitar .
TP,1,1,0.7784,11,i am not into meat and cut back stayed vegan .
FP,0,1,0.7992,10,that is very true . do you ever donate ?
TP,1,1,0.9104,5,i m from texas .
FP,0,1,0.8268,9,i suppose i should . got any hobbies ?
TP,1,1,0.7545,6,my favorite color is blue .
TP,1,1,0.7069,12,i live in providence and work at a publishing building downtown .
FN,1,0,0.1413,18,"hello , i am doing well . another day , another dollar , driving for the man ."
FP,0,1,0.7574,13,"my brother does too , especially since our parents moved to florida recently"
FP,0,1,0.7682,15,savage ? do you like death metal ? i know a member of martius .
FP,0,1,0.8074,9,halo is fine . where are you from ?
FP,0,1,0.6228,16,they're great . my mom and dad got it for me i still live with them
TP,1,1,0.5664,6,i've a cat named leela .
FN,1,0,0.3924,13,i am spending time with my 4 sisters what are you up to
TP,1,1,0.85,8,i'm enrolled in several college credit courses .
TP,1,1,0.7158,12,i sleep 10 hours every day because my work is tiring .
FP,0,1,0.5566,12,sounds super cool . i once created a dragon themed website .
TN,0,0,0.1817,15,"lol , i can imagine . i'll be reading a lot when football is over"
TP,1,1,0.7461,4,i'm very athletic .
FP,0,1,0.7419,9,me to ! i u don't like meat anymore
FN,1,0,0.4699,16,i'm heading to work but stopping to pick up a birthday gift for my husband .
FP,0,1,0.7718,9,"no , i do not make enough money ."
FP,0,1,0.6118,9,so are you in an orchestra or something ?
FP,0,1,0.6221,11,"hello , how are you doing tonight ? its midnight here"
FP,0,1,0.8251,10,do you write for a living or as a hobby
TP,1,1,0.7947,6,my favorite band is tool .
TP,1,1,0.889,13,i only use apple products because i feel everything else is inferior .
FN,1,0,0.2285,14,i am okay . i wish i was more tired though . you ?
FP,0,1,0.6826,14,my pet snake makes me smile . do you guys have any kids ?
TP,1,1,0.8248,10,ke ha is my favorite singer of all time .
TP,1,1,0.759,8,i work as a stand up comedian .
TP,1,1,0.7613,5,i need some new friends
TP,1,1,0.6125,5,i have four sisters .
TP,1,1,0.5666,9,"i'm sad as well , missing my father today"
FN,1,0,0.1506,19,oh okay . i will hurry . i work for a non profit organization that helps children in need
FP,0,1,0.9016,6,you play tennis or coach ?
TN,0,0,0.2937,14,oh that could be a problem lol . what do you do for fun
TP,1,1,0.901,6,i have a boxer dog .
FP,0,1,0.5026,15,"photographer , how about you ? what do you do ? hobbies ? spouse ?"
TP,1,1,0.8323,4,i have epilepsy .
TN,0,0,0.4757,7,hi ! how was your weekend ?
TP,1,1,0.8998,6,my class has 26 kids .
TP,1,1,0.7798,12,i think my mother was a bit touched in the head .
TP,1,1,0.8666,4,i hate tofu .
FP,0,1,0.584,11,lol its ok . what do you do for a living
TP,1,1,0.6996,16,i love it as much as i love walking dogs . where do you work ?
FP,0,1,0.6702,6,"that sounds relaxing , i suppose"
FP,0,1,0.5767,20,cute ! my college sweetie and i are more into swimming . ya will have any other couple activities ?
TP,1,1,0.7511,6,virginia and i am not nope
FP,0,1,0.8077,14,oh does it really ? i squat 400 pounds . 400 ! ! !
TP,1,1,0.7825,14,cool ! i love staring at clouds . flying must be even better !
TP,1,1,0.7501,12,on sundays i like to make breakfast . i too like cooking
TP,1,1,0.8681,9,i m a truck driver in the south .
TN,0,0,0.2618,12,it was big ! its why i cant really see anymore lol
TP,1,1,0.9369,8,i only date people taller than me .
TP,1,1,0.8598,4,i like baths .
FN,1,0,0.4072,15,"books are my greatest pleasure , i have a nice little library i'm building ."
TP,1,1,0.8325,5,i just graduated college .
TP,1,1,0.9009,10,i enjoy playing retro video games on my 386 .
TN,0,0,0.4469,16,"crazy , my wife is vera . were you wondering what had become of her ?"
TP,1,1,0.679,5,i love to read .
TP,1,1,0.8198,6,i like to wear boots .
TN,0,0,0.2792,5,that's quite alright good sir
TN,0,0,0.4365,14,that's awesome . do you have a favorite season or time of year ?
FP,0,1,0.7375,14,"no , saving money to move to australia to marry my boyfriend soon ."
TP,1,1,0.8869,8,i honestly do . i hate fighting .
FN,1,0,0.4617,11,i am in argentina myself . with my lovely horses .
TP,1,1,0.6599,5,i love to crochet .
FP,0,1,0.667,6,hello what are you doing ?
FP,0,1,0.9626,11,"sometimes i steal them , dust allergies this time of year"
TP,1,1,0.8752,6,both my parents were teachers .
FP,0,1,0.8628,6,it is how you like it
FP,0,1,0.6771,11,"that is cool , i used to have six cats ."
TP,1,1,0.6679,10,my husband is a soldier in the us army .
TP,1,1,0.8877,11,i love tattoos i want to get more only have 2
TP,1,1,0.8686,4,i watch basketball .
TP,1,1,0.9013,4,i wear contacts .
FP,0,1,0.5122,15,i really only can offer advice on colder parts of the country . sorry .
FP,0,1,0.8868,5,i've a cat named radar
TP,1,1,0.6468,8,my father was also in the military .
FP,0,1,0.7573,6,did you go to college ?
